identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00001964	4606	CAD		
SEQID00006302	2413	CAD	CD439F, CD806F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00004820	2917	28S	NLF184	D3AR
SEQID00002075	2430	TOPO	TP675F	TP932R
SEQID00000904	1355	WG	WG550F, WG578F	WGABR, WGABRZ
SEQID00001481	1429	28S	D1	D3
SEQID00005435	2385	ARGK	AK183F	AK933R
SEQID00004096	2948	CAD	CD439F, CD806F	C1098R2, CD668R
SEQID00002124	1774	WG	WG578F	WGABR
SEQID00006728	0410	CAD	CD439F, CD821F	CD668R, C1098R
SEQID00002122	1550	28S	D1	D3
SEQID00000191	2368	COI	B1490, LC1490	HC2198, BCOI2R
SEQID00002706	1851	CAD	338F, 791F2, 581F4	1098R, 843R, 680R2
SEQID00005453	3602	COI	LC1490	HC2198
SEQID00001856	2457	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00004696	2934	28S	D1	D3
SEQID00006321	3199	CAD	CD806F, CD439F, CD806F	C1098R2, C1098R2, CD688R
SEQID00004040	1356	COI	B1490	BCOI2R
SEQID00004868	0763	WG		WG2, WGB
SEQID00002796	2871	WG	WG578F	WGABR
SEQID00005474	1546	WG	WG578F	WGABR
SEQID00005800	2379	TOPO	TP675F	TP932R
SEQID00002371	2410	28S	D1, NLF184	D3, D3AR
SEQID00005285	1600	COI	B1490, JER	PAT, B2232
SEQID00002294	2701	18S	18SBI, 18SAI, 518S, 760F	909R, 18L
SEQID00006175	2141	WG	WG578F, WG550F	WGABRZ, WGABRZ
SEQID00003602	2551	WG	WG578F	WGABR
SEQID00001067	2929	28S	D1	D3
SEQID00000731	2172	CAD	C806F3	C1129R
SEQID00003571	4400	WG		
SEQID00003392	1624	MSP	MSP2F	MSP1R
SEQID00005202	1746	ARGK	AK270F	AK950R
SEQID00003999	1808	CAD	CD439F, C806F3, CD806F, CD806F	CD668R, CD1098R2, CD1098R2, C1129R
SEQID00005441	1171	ARGK	AK183F	AK933R
SEQID00005115	3062	WG	WG550F	WGABRZ
SEQID00004697	1640	WG	B5WG1, WG578F	B3WG2, WGABR
SEQID00002994	2053	WG	WG578F	WGABR
SEQID00004347	3998	CAD	CD806F	C1098R2
SEQID00000109	3160	WG	WG578F	WGABR
SEQID00003072	0814	TOPO		
SEQID00004052	1707	MSP	MSP2F	MSP1R
SEQID00001541	3775	TOPO	TP675F	TP932R
SEQID00000058	2825	WG	WG578F	WGABR
SEQID00000661	0732	28S	D1, D1, NLF184	D3MOD, D33-, D3AR
SEQID00003606	1250	WG	WG578F, B5WG1	B3WG2, WGABR
SEQID00003447	2496	COI	LCO1490	HCO2198
SEQID00006040	2793	TOPO	TP675F	TP932R
SEQID00001914	1774	CAD	CD806F, CD806F	CD1098R2, CD1098R2
SEQID00002487	1681	ARGK	AK270F	AK950R
SEQID00001382	1406	18S	760F, 18SAI, 518S, 18SBI	18L, 909R
SEQID00001561	1548	ARGK	AK270F	AK950R
SEQID00004687	2069	ARGK	AK270F	AK950R
SEQID00002450	1654	COI	B1490, JER	PAT, B2232
SEQID00001718	2484	WG	WG550F	WGABRZ
SEQID00004509	2197	COI	JER, B1490	PAT, BCOI2R
SEQID00004876	1305	TOPO	TP675F	TP932R
SEQID00000288	2503	28S	D1	D3
SEQID00000042	1906	28S	D1	D3
SEQID00000362	1398	COI	B1490	BCOI2R
SEQID00004746	0527	WG		
SEQID00000379	3093	CAD	CD821F, CD821F	C1098R2, C1098R2, CD1098R2
SEQID00001841	2496	28S	D1	D3
SEQID00002867	2412	CAD	CD806F, CD806F, CD439F	CD1098R2, CD1098R2, CD668R
SEQID00002801	2213	CAD	CD821F, C1031F, CD439F, 806F	CD668R, C1098R, 1098R, C1231R
SEQID00005328	2831	WG		
SEQID00000070	0607	WG	WG5, WG578F, WG5	WGB, WG3, WG3, WGABR, WG2
SEQID00001276	2875	WG	WG578F	WGABR
SEQID00006515	2851	COI	B1490	BCOI2R
SEQID00004610	0536	WG	WG550F	WGABRZ
SEQID00001949	2007	WG	WG550F	WGABRZ
SEQID00003439	2892	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002110	1816	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00006001	1203	WG	WG550F, 5WGB	3WG2, WGABRZ
SEQID00004453	1170	ARGK	AK183F	AK933R
SEQID00006530	3250	ARGK	AK183F	AK933R
SEQID00005446	1605	28S	D1	D3
SEQID00002641	2807	CAD	CD806F	C1098R2
SEQID00005227	1624	28S	D1, D1	D3, D3
SEQID00006114	2603	ARGK	AK183F	AK933R
SEQID00001108	0916	TOPO	TP675F	TP932R
SEQID00002545	0868	28S	D1MOD, D1MOD, D1MOD	D33-, D3
SEQID00003502	2220	COI	LC1490	HC2198
SEQID00005136	1366	CAD	791F2	1098R
SEQID00001262	2141	CAD	C806F3, CD439F, 791F2	1098R2, CD668R, 1129R
SEQID00003251	1399	COI	LC1490	HC2198
SEQID00003314	4002	COI	LC1490	HC2198
SEQID00002554	2650	28S	NLF184, NLF184	D3AR, D3AR
SEQID00004538	2661	CAD	CD806F	1098R2
SEQID00003965	1248	28S	D1, D1	D3, D3
SEQID00000863	0138	WG		
SEQID00003311	1443	CAD	791F2	1098R
SEQID00001950	0087	18S		
SEQID00006561	0916	18S	518S, 18SBI, 18SAI, 760F	18L, 909R
SEQID00001872	1321	COI	LC1490	HC2198
SEQID00001228	2385	CAD	CD806F	1098R2
SEQID00001493	0569	CAD	806F, 806F	1098R, 1098R
SEQID00004479	1422	28S	D1	D3
SEQID00001747	3248	WG	WG578F	WGABR
SEQID00004217	1465	28S	D1	D3
SEQID00002288	1495	28S	D1	D33-
SEQID00006412	1547	18S	518S, 18SAI, 760F, 18SBI	909R, 18L
SEQID00003751	2679	CAD	CD439F, CD806F	CD688R, 1098R2
SEQID00004588	2679	TOPO	TP675F	TP932R
SEQID00005254	2050	28S	D1	D3
SEQID00001217	0817	CAD	806F	1098R
SEQID00004867	2301	28S	D1	D3
SEQID00006146	4691	28S	D1	D3
SEQID00001402	1534	POL2	PL859F	P1097R
SEQID00002800	1435	CAD	791F2	1098R
SEQID00004171	1417	28S	D1	D3
SEQID00000138	2759	TOPO	TP675F	TP932R
SEQID00002532	2095	COI	B1490	BCOI2R
SEQID00001261	2483	ARGK	AK168F	AK939R
SEQID00002495	0750	WG	WG1	WG2, WG2, WGB
SEQID00004740	1934	WG	WG578F	WGABR
SEQID00005557	1494	28S	D1	D33-
SEQID00002154	1084	28S	D1	D3
SEQID00002841	2824	WG	WG578F	WGABR
SEQID00004005	0820	AS		
SEQID00002584	0947	WG		WGB, WG2
SEQID00001057	4034	COI	LC1490	HC2198
SEQID00000024	2650	ARGK	AK168F	AK939R
SEQID00004663	0866	28S	D1MOD	D33
SEQID00002072	1663	COI	JER, B1490	B2232, PAT
SEQID00005383	1424	WG	WG578F	WGABR
SEQID00001053	1328	28S	D1	D3
SEQID00002025	2032	18S	518S, 760F, 18SAI, 18SBI	18L, 909R
SEQID00000007	1726	ARGK	AK183F	AK933R
SEQID00002332	2674	COI	B1490	BCOI2R
SEQID00001037	1832	CAD	338F, 791F2, 581F4	680R2, 1098R, 843R
SEQID00005896	2439	ARGK	AK183F	AK933R
SEQID00006649	0635	WG	WG1	WG2
SEQID00001745	1470	28S	D1, D1	D3, D3
SEQID00005310	1510	CAD	791F2	1098R
SEQID00002635	2089	ARGK	AK183F	AK933R
SEQID00003542	1623	COI	B1490, JER, JER	B2232, PAT, PAT
SEQID00006154	1429	ARGK	AK183F	AK933R
SEQID00005147	3071	COI	B1490	BCOI2R
SEQID00004223	3023	WG	WG550F	WGABRZ
SEQID00002507	2786	CAD	CD806F	C1098R2
SEQID00001781	2333	28S	D1	D3
SEQID00001528	2673	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002408	0688	28S	D1	D33-
SEQID00005415	2411	WG	WG578F	WGABR
SEQID00000579	0703	28S	D1, D1	D3, D33-
SEQID00005803	1218	28S	D1	D3
SEQID00001249	1420	28S	D1	D3
SEQID00006560	1510	COI	LC1490	HC2198
SEQID00000862	1558	28S	D1	D3
SEQID00002160	2873	CAD	CD821F, CD821F	CD1098R2, CD1098R2
SEQID00004247	4316	28S		
SEQID00003414	2847	ARGK	AK183F	AK933R
SEQID00006326	2171	COI	B1490	BCOI2R
SEQID00006299	1331	28S	D1	D3
SEQID00003090	1836	28S	D1	D3
SEQID00006596	1763	18S	18SBI, 760F, 518S, 18SAI	18L, 909R
SEQID00004503	2149	ARGK	AK183F	AK933R
SEQID00003186	2840	28S	D1	D3
SEQID00005490	1513	18S	518S, 18SAI, 760F, 18SAI, 518S	909R
SEQID00002652	1881	COI	JER, B1490, JER, B1490, B2679	B2232, PAT, BCOI2R, BCOI2R, PAT
SEQID00000946	1067	WG	WG578F	WGABR
SEQID00003938	1745	TOPO		
SEQID00005589	1236	MSP	MSP2F	MSP1R
SEQID00001801	1852	MSP	MSP2F	MSP1R
SEQID00000156	1936	WG	WG578F	WGABR
SEQID00000402	3775	COI	LC1490	HC2198
SEQID00000522	1625	28S	D1	D3
SEQID00004847	1470	WG	5WGB, WG578F, 5WGB	WGABR, B3WG2, B3WG2
SEQID00000127	1514	WG	5WGB	3WG2
SEQID00003957	2199	ARGK	AK270F	AK950R
SEQID00006662	0705	18S	18SAI, 18SBI, 18SBI, 518S, 760F, 18SAI	909R, 18L
SEQID00001323	2576	CAD	CD806F, CD439F	1098R2, CD668R
SEQID00005318	2157	AS		
SEQID00001279	1905	ARGK	AK270F	AK950R
SEQID00000053	0877	ARGK	AK270F	AK950R
SEQID00004465	1465	COI	LC1490	HC2198
SEQID00001235	0817	WG	WG578F	WGABR
SEQID00004044	2857	CAD	CD806F, CD806F, CD439F, CD439F	CD668R, CD1098R2, CD1098R2, CD668R
SEQID00005056	2085	ARGK	AK183F	AK933R
SEQID00002986	2802	TOPO	TP675F	TP932R
SEQID00003258	1360	28S	D1	D3
SEQID00004908	0108	COI	B1490, JER	B2232, PAT
SEQID00001802	1615	CAD	791F2, 338F, 581F4	843R, 1098R, 680R2
SEQID00002318	1939	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00006358	2981	28S	NLF184, D1	D3, D3AR
SEQID00006270	2845	WG	WG578F	WGABR
SEQID00002765	1202	28S	D1	D3
SEQID00002492	2079	TOPO	TP675F	TP932R
SEQID00005627	0574	28S	D1, D1	D3, D33-
SEQID00002785	2368	CAD	CD821F	1098R2
SEQID00005718	2166	COI	B1490, LC1490	BCOI2R, HC2198
SEQID00004320	1562	28S	D1	D3
SEQID00003245	1547	ARGK	AK270F	AK950R
SEQID00000269	2080	COI	B1490	BCOI2R
SEQID00006037	1442	WG	WG578F, WG550F	WGABRZ, WGABRZ
SEQID00003352	1637	WG	5WGNST, B5WG1	B3WG2, B3WG2
SEQID00006251	0595	CAD	806F	1098R
SEQID00006214	2761	COI	B1490	BCOI2R
SEQID00002515	0493	28S	D2F, D1MOD, D1WM, D2F, D2F, D1	D3R, D3R, D3MOD, D2R, D3MOD, D2R, D3WM
SEQID00001014	2665	CAD	CD806F, CD439F	CD668R, 1098R2
SEQID00005203	2948	CAD	CD439F, CD806F	C1098R2, CD668R
SEQID00000647	0575	WG	WG5	WG3
SEQID00003671	1740	28S	D1	D3
SEQID00005451	2821	28S	D1	D3
SEQID00005163	1817	28S	D1	D3
SEQID00000171	2491	COI	LCO1490	HCO2198
SEQID00002211	2491	ARGK	AK168F	AK939R
SEQID00000962	3984	28S	D1, D1, LS1F	D3L, LS1R, D3
SEQID00000535	2405	28S	D1, NLF184	D3AR, D3
SEQID00004200	1741	CAD	CD439F, 791F2	CD688R, 1098R
SEQID00005074	2201	28S	NLF184	D3AR
SEQID00002468	1606	28S	D1	D3
SEQID00003458	1895	ARGK	AK270F	AK950R
SEQID00005470	2675	TOPO	TP675F	TP932R
SEQID00001728	2613	ARGK	AK168F	AK939R
SEQID00005617	2870	CAD	CD439F, CD806F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00002463	1757	28S	D1	D3
SEQID00002542	1010	28S		
SEQID00002383	1544	MSP	MSP2F	MSP1R
SEQID00000520	1931	28S	D1	D3
SEQID00003612	1846	POL2	PL859F	P1097R
SEQID00006160	2172	28S	D1	D3
SEQID00000890	1646	28S	D1	D3
SEQID00003629	2441	28S	NLF184, NLF184	D3AR, D3AR
SEQID00000555	1299	WG	WG578F	WGABR
SEQID00005437	3776	28S	NLF184	D3AR
SEQID00004007	0317	28S	D1	D33-
SEQID00006281	2661	28S	NLF184, NLF184	D3AR, D3AR
SEQID00000132	1409	28S	D1	D33-
SEQID00000696	1693	ARGK	AK270F	AK950R
SEQID00006301	1907	WG	WG578F	WGABR
SEQID00004257	3916	ARGK	AK168F	AK939R
SEQID00005108	0757	WG		WG2, WGB
SEQID00003809	1173	28S	D1	D33
SEQID00006609	2825	ARGK	AK183F	AK933R
SEQID00000404	1688	18S	518S, 18SAI, 18SBI, 760F	18L, 909R
SEQID00001250	0455	28S	D1, D1, D1, D1	D33-, D33-, D33-, D33-
SEQID00000159	4059	28S	D1	D3
SEQID00002562	1207	COI	JER, B1490	PAT, B2232
SEQID00005661	2741	CAD	CD806F	1098R2
SEQID00004759	2928	CAD	CD806F, CD439F, CD806F	C1098R2, C1098R2, CD668R
SEQID00005087	2916	28S	NLF184	D3AR
SEQID00004204	1853	COI	JER, B1490	PAT, B2232
SEQID00003198	1687	ARGK	AK270F	AK950R
SEQID00004552	2485	COI	B1490	BCOI2R
SEQID00002675	2203	PEPCK		
SEQID00001111	2791	WG	WG578F	WGABR
SEQID00004228	0776	ARGK	AK270F	AK950R
SEQID00000427	2782	COI	B1490	BCOI2R
SEQID00002770	1510	18S	18SAI, 760F, 18SBI, 518S	909R, 18L
SEQID00006339	1680	CAD	791F2, CD439F	CD688R, 1098R
SEQID00001941	1668	COI	B1490, JER	PAT, B2232
SEQID00004302	1444	18S	518S, 18SAI, 760F, 18SBI	909R, 18L
SEQID00006090	2044	ARGK	AK270F	AK950R
SEQID00006592	2980	28S	NLF184	D3AR
SEQID00005990	1830	POL2	PL859F	P1097R
SEQID00005152	1641	28S	D1	D3
SEQID00001924	2370	WG	WG578F	WGABR
SEQID00004875	0989	ARGK	AK270F, AK260F	AK950R, AK950R
SEQID00003979	2783	COI	B1490	BCOI2R
SEQID00002102	2157	PEPCK		
SEQID00002087	0108	WG	WG578F	WGABR
SEQID00000326	2817	COI	B1490	BCOI2R
SEQID00005038	2700	TOPO	TP675F, TP643F	TP932R, TP932R
SEQID00003922	1831	COI	B1490, B1490, JER	PAT, B2232
SEQID00002642	2816	CAD	CD806F	C1098R2
SEQID00003816	0575	ARGK	AK183F, AK260F	AK950R, AK933R
SEQID00006142	1303	ARGK	AK260F, AK183F	AK933R, AK950R
SEQID00001686	3559	CAD	CD806F	C1098R2
SEQID00001467	3978	18S		
SEQID00002189	1671	28S	D1	D3
SEQID00006556	2520	28S	D1	D3
SEQID00005841	0578	WG	WG1	WG2
SEQID00002339	1460	ARGK	AK270F	AK950R
SEQID00004521	0662	WG	WG1	WG2
SEQID00001223	1964	TOPO	TP675F	TP932R
SEQID00002074	1597	WG	WG578F	WGABR
SEQID00001056	3096	COI	B1490	BCOI2R
SEQID00003485	1441	TOPO	TP675F	TP932R
SEQID00000934	2302	COI	JER, B1490	PAT, BCOI2R
SEQID00004213	0283	18S		
SEQID00001318	2228	COI	LC1490	HC2198
SEQID00005106	2170	TOPO	TP675F	TP932R
SEQID00002553	1744	28S	D1	D3
SEQID00000681	2794	WG	WG578F	WGABR
SEQID00002341	2903	28S	NLF184	D3AR
SEQID00003967	1396	CAD	CD439F, 806F	CD668R, 1098R
SEQID00000323	1636	28S	D1	D3
SEQID00005823	0977	28S	D1	D33-
SEQID00003381	1536	COI	B1490, JER	B2232, PAT
SEQID00006425	2789	CAD	CD806F	C1098R2
SEQID00000782	2334	WG	WG550F	WGABRZ
SEQID00001591	0575	CAD	CD806F, CD439F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00000307	2658	WG	WG550F	WGABRZ
SEQID00005142	1719	CAD	338F, 581F2, 791F2, 806F	680R2, 1098R, 843R, 843R
SEQID00000222	2870	MSP	MSP2F	MSP1R
SEQID00003142	1750	TOPO	TP675F	TP932R
SEQID00003903	2690	TOPO	TP675F	TP932R
SEQID00006298	2014	ARGK	AK183F	AK933R
SEQID00000026	2368	28S	D1	D3
SEQID00001552	0705	ARGK	AK183F	AK933R
SEQID00005677	2822	WG	WG578F	WGABR
SEQID00006007	0642	28S	D1	D33-
SEQID00005670	1396	WG	WG550F	WGABRZ
SEQID00003266	2934	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00005634	1551	COI	B1490, JER, JER, B1490, B2679	B2232, PAT, BCOI2R, B2232, PAT
SEQID00004728	2046	WG	WG550F	WGABRZ
SEQID00005517	1664	ARGK	AKF4T, AK270F, AKF2T	AKR2T, AKR2T, AK830R
SEQID00000302	2868	28S	NLF184, NLF184	D3AR, D3AR
SEQID00006437	0605	CAD	CD439F, CD821F, CD821F	CD1098R2, CD668R, CD1098R2
SEQID00003073	1767	28S	D1	D3
SEQID00003784	2658	TOPO	TP675F	TP932R
SEQID00005975	1471	ARGK	AK183F	AK933R
SEQID00003430	1745	COI	LC1490	HC2198
SEQID00002897	2891	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002914	1925	28S	D1	D3
SEQID00002042	1544	POL2	PL859F	P1097R
SEQID00006015	1766	28S	D1	D3
SEQID00001522	2280	28S	D1	D3
SEQID00005291	2157	MSP	MSP2F	MSP1R
SEQID00003332	3251	CAD	CD806F, CD439F	CD688R, C1098R2
SEQID00006369	0706	WG	WG1	WG2, WGB, WG2
SEQID00001734	0877	POL2	PL859F	P1097R
SEQID00001368	1966	CAD	CD439F	CD668R
SEQID00000866	1075	WG	WG578F	WGABR
SEQID00005008	1922	28S	D1	D3
SEQID00005807	1408	18S	18SAI, 760F, 18SBI, 518S	18L, 909R
SEQID00004519	2869	CAD	CD806F, CD806F	CD1098R2, CD1098R2
SEQID00001577	3525	MSP	MSP2F	MSP1R
SEQID00003598	4290	TOPO	TP675F	TP932R
SEQID00003760	1856	COI	B1490, JER	PAT, B2232
SEQID00005249	2859	28S	NLF184, NLF184	D3AR, D3AR
SEQID00006282	0716	28S	D1	D33-
SEQID00005158	3282	28S	NLF184	D3AR
SEQID00006112	2662	CAD	CD806F, CD439F	1098R2, CD668R
SEQID00005864	1528	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00003123	0655	WG	WG1	WG2
SEQID00002415	2137	COI	B1490	BCOI2R
SEQID00000212	0958	WG	WG578F	WGABR
SEQID00003813	1709	WG	WG550F, WG550F	WGABRZ, WGABRZ
SEQID00000977	0453	ARGK	AK168F	AK939R
SEQID00003027	2957	CAD	CD439F, CD806F	CD688R, C1098R2
SEQID00004961	2358	COI	LC1490	HC2198
SEQID00002239	2699	ARGK	AK183F	AK933R
SEQID00003916	1399	MSP	MSP2F	MSP1R
SEQID00003991	2384	CAD	CD806F	1098R2
SEQID00006044	2059	CAD	806F	1098R
SEQID00006182	2794	ARGK	AK183F	AK933R
SEQID00000348	1641	COI	JER, B1490	PAT, B2232
SEQID00006475	1690	COI	JER	PAT
SEQID00003195	3091	28S	NLF184	D3AR
SEQID00006005	0746	28S	D1, D1	D33-, D33-
SEQID00000031	3560	28S	D1	D3
SEQID00002862	0800	WG	WG550F	WGABRZ
SEQID00001826	1236	28S	D1, D1	D3, D3
SEQID00005825	1450	28S	D1	D33
SEQID00005297	3291	WG	WG550F	WGABRZ
SEQID00003767	2659	ARGK	AK168F	AK939R
SEQID00000805	2501	28S	D1	D3
SEQID00004476	0410	CAD	CD439F, CD821F	CD668R, C1098R
SEQID00002244	2084	CAD	806F	1098R
SEQID00000176	0840	28S	D1	D33
SEQID00003407	1414	TOPO	TP675F	TP932R
SEQID00005703	2903	CAD	CD439F, CD806F	CD668R, CD1098R2
SEQID00000889	2081	CAD	CD806F	C1098R2
SEQID00004765	2251	COI	B1490, JER	BCOI2R, PAT
SEQID00001334	1305	WG	WG578F	WGABR
SEQID00005920	1902	COI	B1490, JER	PAT, BCOI2R
SEQID00001918	1341	COI	B1490	BCOI2R
SEQID00002653	2032	28S	D1	D3
SEQID00001701	2896	28S	NLF184	D3AR
SEQID00005259	1630	AS		
SEQID00005552	0358	WG		
SEQID00005946	1293	COI	JER, B1490	PAT, B2232
SEQID00002437	2825	COI	B1490	BCOI2R
SEQID00004145	2888	WG	WG578F	WGABR
SEQID00000479	1745	ARGK	AK270F	AK950R
SEQID00002725	2166	TOPO	TP675F	TP932R
SEQID00000800	1756	MSP	MSP2F	MSP1R
SEQID00000765	2318	CAD	CD821F	C1098R
SEQID00005086	2514	CAD	CD806F	C1098R2
SEQID00003987	2891	CAD	CD439F	CD668R
SEQID00005513	2319	COI	LC1490	HC2198
SEQID00001278	2140	COI	B1490	BCOI2R
SEQID00005372	2506	WG	WG578F, WG550F	WGABR, WGABRZ
SEQID00001288	2439	CAD	CD439F, CD806F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00004879	2918	CAD	CD806F, CD439F	C1098R2, CD688R
SEQID00006013	2080	MSP	MSP2F	MSP1R
SEQID00004070	2674	WG	WG550F	WGABRZ
SEQID00003970	2248	WG	WG550F	WGABRZ
SEQID00005791	2967	CAD	CD806F	C1098R2
SEQID00004657	2449	TOPO	TP675F	TP932R
SEQID00001945	3609	ARGK	AK183F	AK933R
SEQID00000118	2199	CAD	C1031F, CD821F, CD439F	C1098R, CD688R, C1231R
SEQID00006366	2913	ARGK	AK183F	AK933R
SEQID00004310	3998	TOPO	TP675F	TP932R
SEQID00001328	1769	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00002367	1984	WG	WG578F	WGABR
SEQID00001981	1958	CAD	791F2, 806F	1098R, 1098R
SEQID00003469	1675	28S	D1	D3
SEQID00000567	0473	18S		
SEQID00000054	1963	18S	518S, 760F, 18SBI, 18SAI	909R, 18L
SEQID00005724	2103	WG	WG578F	WGABR
SEQID00005479	1859	28S	D1	D3
SEQID00004010	3246	28S	NLF184	D3AR
SEQID00006388	1777	CAD	C1031F, CD821F	C1231R, C1098R
SEQID00005536	2090	WG	WG578F	WGABR
SEQID00005187	0528	28S	D1, D1, D1	D33-, D33-, D33-
SEQID00001794	3940	CAD	CD439F, CD806F	CD668R, C1098R2
SEQID00003224	3526	WG	WG578F	WGABR
SEQID00003429	2133	COI	B1490	BCOI2R
SEQID00000198	1620	COI	JER, JER	PAT, PAT
SEQID00005702	2029	28S	D1	D3
SEQID00004422	2839	ARGK	AK183F	AK933R
SEQID00003549	0267	TOPO	TP675F	TP932R
SEQID00006565	0528	WG		
SEQID00006415	1365	COI	JER, B1490	PAT, B2232
SEQID00003410	1724	TOPO	TP675F	TP932R
SEQID00002196	1289	28S	D1	D3
SEQID00002691	1568	COI	JER	PAT
SEQID00000280	0820	PEPCK		
SEQID00005518	3199	28S	NLF184	D3AR
SEQID00005050	2149	TOPO	TP675F	TP932R
SEQID00000239	1329	CAD	CD806F	C1098R2
SEQID00001283	1941	TOPO	TP675F	TP932R
SEQID00003038	1463	COI	B1490	BCOI2R
SEQID00003722	2390	ARGK	AK168F	AK939R
SEQID00006158	2864	CAD	CD439F, CD806F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00006350	2220	CAD	806F	1098R
SEQID00001932	2824	28S	D1	D3
SEQID00006082	2839	28S	D1	D3
SEQID00005075	1281	18S	518S, 18SAI, 18SBI, 760F	909R, 18L
SEQID00000529	2850	COI	B1490	BCOI2R
SEQID00000235	3261	CAD	CD806F	CD1098R2
SEQID00001390	2484	CAD	791F2	1098R2
SEQID00005732	2309	COI	LC1490	HC2198
SEQID00004112	0877	COI	JERRY, JER, B1490	PAT, B2232, PAT
SEQID00003635	2157	WG	WG578F	WGABR
SEQID00001873	3999	WG	WG550F	WGABRZ
SEQID00004713	1755	CAD	806F, 806F, 791F2	1098R, 1098R, 1098R
SEQID00000412	1746	CAD	CD806F	1098R2
SEQID00006553	1753	18S	518S, 18SAI, 18SBI, 760F	909R, 18L
SEQID00002624	2144	TOPO	TP675F	TP932R
SEQID00000161	1322	18S	18SAI, 18SBI, 518S, 760F	18L, 909R
SEQID00006378	0723	CAD	CD806F, CD439F, CD806F	CD668R, CD1098R2, CD1098R2
SEQID00003147	2391	28S	D1	D3
SEQID00004433	1718	ARGK	AK183F, AK270F	AK933R, AK950R
SEQID00002904	2357	28S	D1	D3
SEQID00000571	3023	ARGK	AK183F	AK933R
SEQID00006342	3059	WG	WG550F	WGABRZ
SEQID00004950	0354	ARGK	AK270F	AK950R
SEQID00000382	2981	CAD	CD806F	C1098R2
SEQID00006258	1767	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00006069	1972	CAD	CD806F, CD821F	C1098R2, C1098R2
SEQID00006034	3254	28S	NLF184	D3AR
SEQID00006501	2883	CAD	CD806F, CD806F	CD1098R2, CD1098R2
SEQID00003713	1314	COI	B1490, B1490, JER	PAT, B2232, B2232
SEQID00004138	2359	COI	LC1490	HC2198
SEQID00001804	2249	PEPCK		
SEQID00006584	1713	TOPO	TP675F	TP932R
SEQID00000248	2132	TOPO	TP675F	TP932R
SEQID00001123	2867	28S	NLF184, NLF184	D3AR, D3AR
SEQID00006407	3999	ARGK	AK183F	AK933R
SEQID00003699	0820	28S		
SEQID00001764	1439	CAD	806F	1098R
SEQID00006216	0364	18S		
SEQID00006305	1304	WG	WG550F	WGABRZ
SEQID00000345	1672	28S	D1	D3
SEQID00006225	2658	ARGK	AK168F	AK939R
SEQID00006631	2240	COI	LC1490	HC2198
SEQID00006758	1754	WG	WG578F	WGABR
SEQID00005112	1770	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00003829	1323	COI	JER, B1490	PAT, BCOI2R
SEQID00003834	2104	ARGK	AK183F	AK933R
SEQID00000439	1361	COI	B1490	BCOI2R
SEQID00001450	2109	COI	B1490	BCOI2R
SEQID00006420	2312	WG	WG550F	WGABRZ
SEQID00003199	1550	WG	WG578F	WGABR
SEQID00004770	1620	28S	D1	D3
SEQID00001260	2862	28S	NLF184, NLF184	D3AR, D3AR
SEQID00003350	2037	ARGK	AK183F	AK933R
SEQID00001925	1317	CAD	806F	1098R
SEQID00000122	1711	CAD	C806F3, 338F, CD821F, 581F4	680R2, C1098R, 843R, C1129R
SEQID00003538	1213	COI	JER, B1490	B2232, PAT
SEQID00004474	2660	28S	NLF184, NLF184	D3AR, D3AR
SEQID00005836	1135	CAD	581F4, 791F2, 338F	680R2, 843R, 1098RA
SEQID00005403	2338	WG	WG550F	WGABRZ
SEQID00003931	2067	ARGK	AK270F	AK950R
SEQID00000262	2082	COI	LC1490	HC2198
SEQID00005267	1414	WG	B5WG1, WG578F	B3WG2, WGABR
SEQID00003140	1713	COI	LC1490	HC2198
SEQID00000822	2458	CAD	CD806F	1098R2
SEQID00001663	4606	28S		
SEQID00002574	2371	ARGK	AK183F	AK933R
SEQID00004988	2875	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00005816	2133	ARGK	AK270F	AK950R
SEQID00005776	2851	28S	D1	D3
SEQID00002780	1626	WG	WG578F	WGABR
SEQID00005410	1615	18S	760F, 18SAI, 18SBI, 518S	909R, 18L
SEQID00003467	1597	COI	B1490, JER	B2232, PAT
SEQID00002494	1539	COI	B1490, JER, B1490	B2232, PAT
SEQID00005566	2885	CAD	CD806F, CD439F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00006744	2704	CAD	806F	1098R2
SEQID00004084	1543	MSP	MSP2F	MSP1R
SEQID00000497	1412	ARGK	AK270F	AK950R
